No.,Player,Position,Height,Points,Assists,Ds,Turns,Team,Division,Year
1,Donald Clark,Mid,'"5''11"""',6,4,4,7,Seattle Mixtape,Mixed,2018
3,Cam Bailey,Deep,,5,15,6,12,Seattle Mixtape,Mixed,2018
4,Jesse Bolton,,,8,8,3,17,Seattle Mixtape,Mixed,2018
4,Zhi Chen,Defense (Handler),'"1''0"""',11,7,6,17,Seattle Mixtape,Mixed,2018
6,Kahyee Fong,Deep,,7,4,1,4,Seattle Mixtape,Mixed,2018
8,Meagan Kapostasy,Defense (Cutter),,,2,3,1,Seattle Mixtape,Mixed,2018
9,Jennifer Cogburn,Deep,,,,,,Seattle Mixtape,Mixed,2018
10,Lexi Garrity,Defense (Cutter),'"5''6"""',18,,7,10,Seattle Mixtape,Mixed,2018
11,Bert Abbott,Defense (Handler),'"5''6"""',5,6,4,16,Seattle Mixtape,Mixed,2018
12,Brad Houser,Mid,,29,29,8,25,Seattle Mixtape,Mixed,2018
14,Reed Hendrickson,Dump,,11,5,12,4,Seattle Mixtape,Mixed,2018
15,Drew Johnson,,'"5''8"""',,,,,Seattle Mixtape,Mixed,2018
19,Cole Johnson,,,,,,4,Seattle Mixtape,Mixed,2018
20,Grace Noah,Mid,'"5''6"""',3,3,2,16,Seattle Mixtape,Mixed,2018
22,Evan Klein,Defense (Cutter),,8,23,5,12,Seattle Mixtape,Mixed,2018
23,Nicola Bruce,Deep,'"5''1"""',3,1,,3,Seattle Mixtape,Mixed,2018
24,Alex Duffel,Defense (Handler),,5,1,2,10,Seattle Mixtape,Mixed,2018
27,Dominic Cavalero,Defense (Handler),,7,7,6,8,Seattle Mixtape,Mixed,2018
28,Claire Revere,,'"5''5"""',15,14,4,7,Seattle Mixtape,Mixed,2018
31,Henry Phan,Defense (Handler),,1,,,,Seattle Mixtape,Mixed,2018
32,Emily Smith-Wilson,Mid,,10,3,8,4,Seattle Mixtape,Mixed,2018
34,Brian Stout,Dump,'"6''4"""',18,10,2,10,Seattle Mixtape,Mixed,2018
50,Nicholas Dare,Handler,'"6''1"""',2,5,2,8,Seattle Mixtape,Mixed,2018
58,Paige Kercher,Handler,'"5''6"""',6,10,,11,Seattle Mixtape,Mixed,2018
81,Lani Nguyen,Handler/Cutter,'"5''3"""',18,6,1,7,Seattle Mixtape,Mixed,2018
99,Khalif El-Salaam,Defense (Cutter),,22,23,21,17,Seattle Mixtape,Mixed,2018
,Jessica Haller,,'"5''5"""',1,,2,,'Drag''n Thrust',Mixed,2018
,Benjamin Longchamp,,'"1''0"""',,,,,'Drag''n Thrust',Mixed,2018
0,Alicia Carr,,'"5''6"""',3,5,1,7,'Drag''n Thrust',Mixed,2018
2,Brett Sullivan,,,,2,,1,'Drag''n Thrust',Mixed,2018
3,Patrick Niles,,,1,8,1,8,'Drag''n Thrust',Mixed,2018
4,Erica Baken,,,10,22,12,20,'Drag''n Thrust',Mixed,2018
5,Greta Regan,,,3,3,,7,'Drag''n Thrust',Mixed,2018
7,Blake Trantina,,'"1''0"""',16,4,8,3,'Drag''n Thrust',Mixed,2018
8,Claire Oakley,,,6,3,,9,'Drag''n Thrust',Mixed,2018
9,Emily Regan,,,17,5,5,9,'Drag''n Thrust',Mixed,2018
10,Martha Lien,,'"5''2"""',7,5,1,7,'Drag''n Thrust',Mixed,2018
11,Jonah Malenfant,,'"6''2"""',,,,,'Drag''n Thrust',Mixed,2018
12,Marty Adams,,,36,10,13,14,'Drag''n Thrust',Mixed,2018
13,Jacob Lien,,'"5''11"""',8,20,12,15,'Drag''n Thrust',Mixed,2018
14,Austin Lien,,'"5''8"""',8,31,1,22,'Drag''n Thrust',Mixed,2018
16,Brian Schoenrock,,'"6''1"""',36,14,13,7,'Drag''n Thrust',Mixed,2018
17,James Hron,,,21,13,4,1,'Drag''n Thrust',Mixed,2018
18,Ellie Sjordal,,'"5''4"""',2,4,2,8,'Drag''n Thrust',Mixed,2018
19,Tavis Leighton,,,10,9,10,6,'Drag''n Thrust',Mixed,2018
20,Neal Hanke,,,12,16,12,16,'Drag''n Thrust',Mixed,2018
21,Tyler Thomegreene,,,4,13,5,8,'Drag''n Thrust',Mixed,2018
22,Kathryn Ritzmann,,,13,18,11,12,'Drag''n Thrust',Mixed,2018
25,Eva Maxson,,,3,3,,4,'Drag''n Thrust',Mixed,2018
31,Josh Hemmesch,,,7,5,1,3,'Drag''n Thrust',Mixed,2018
33,Jaime Glader,,'"5''1"""',12,10,6,6,'Drag''n Thrust',Mixed,2018
37,Sierra Barthen,,,7,5,,7,'Drag''n Thrust',Mixed,2018
43,Bryan Vohnoutka,,,10,12,6,9,'Drag''n Thrust',Mixed,2018
44,Sarah Meckstroth,,'"5''8"""',33,44,23,24,'Drag''n Thrust',Mixed,2018
49,Caleb Denecour,,'"5''9"""',24,14,12,11,'Drag''n Thrust',Mixed,2018
55,Charlie Schuweiler,,'"5''8"""',2,17,3,12,'Drag''n Thrust',Mixed,2018
92,Sarah Espinoza,,,3,1,,1,'Drag''n Thrust',Mixed,2018
99,Adam Meckstroth,,'"6''2"""',4,3,,2,'Drag''n Thrust',Mixed,2018
0,Georgia Bosscher,,,5,6,1,8,Space Heater,Mixed,2018
0,David Boylan-Kolchin,,'"6''1"""',3,2,2,1,Space Heater,Mixed,2018
0,Crystal Davis,,,3,1,2,1,Space Heater,Mixed,2018
0,Beau De Koninck,,,,,,,Space Heater,Mixed,2018
0,Claire Desmond,,,4,5,,4,Space Heater,Mixed,2018
0,Jenny Fey,,,9,7,,5,Space Heater,Mixed,2018
0,Joe Freund,,,4,3,1,6,Space Heater,Mixed,2018
0,Rachel Hess,,,,1,1,,Space Heater,Mixed,2018
0,Sammy Kees Humes,,'"5''11"""',,,,,Space Heater,Mixed,2018
0,Kelly Hyland,,,6,4,,4,Space Heater,Mixed,2018
0,Cody Johnston,,'"6''0"""',,2,,1,Space Heater,Mixed,2018
0,Sandra Jorgensen,,,7,2,3,4,Space Heater,Mixed,2018
0,Kyle Khalifa,,,6,2,2,2,Space Heater,Mixed,2018
0,Alan Kolick,,,3,9,5,2,Space Heater,Mixed,2018
0,Allison Maddux,,,,,1,2,Space Heater,Mixed,2018
0,Jonny Malks,,'"5''11"""',,,,,Space Heater,Mixed,2018
0,Anthony McLean,,'"6''1"""',4,1,1,5,Space Heater,Mixed,2018
0,Ryan Nam,,,3,,,,Space Heater,Mixed,2018
0,Zachary Norrbom,,'"5''8"""',7,6,1,4,Space Heater,Mixed,2018
0,Adam Raty,,,,2,,1,Space Heater,Mixed,2018
0,Erik Salmi,,'"5''11"""',,2,,,Space Heater,Mixed,2018
0,Katherine Sanz,,,,,,2,Space Heater,Mixed,2018
0,Patrick Shriwise,,,2,8,1,6,Space Heater,Mixed,2018
0,Theodore Sither,,,3,7,,1,Space Heater,Mixed,2018
0,Christine Valvo,,,1,,1,,Space Heater,Mixed,2018
0,Fred Wolf,,'"6''3"""',,,,,Space Heater,Mixed,2018
0,Shino Yoshen,,,,,1,3,Space Heater,Mixed,2018
,Leah Bar-On Simmons,,,4,1,5,4,BFG,Mixed,2018
,Sarah Benditt,,,7,4,,5,BFG,Mixed,2018
,Julia Bladin,,,4,4,2,4,BFG,Mixed,2018
,Kerry Chang,,,11,9,2,5,BFG,Mixed,2018
,David Hunzicker,,,,,,,BFG,Mixed,2018
,Rena Kawabata,,'"5''5"""',4,6,1,3,BFG,Mixed,2018
,Kieran Kelly,,'"6''2"""',4,4,,,BFG,Mixed,2018
,'Mario O''Brien',,,3,16,3,10,BFG,Mixed,2018
,Samuel Pickel,,,2,11,3,9,BFG,Mixed,2018
,Bryson Simon Fox,,,14,5,8,11,BFG,Mixed,2018
,Lindsay Simon Fox,,,25,4,5,5,BFG,Mixed,2018
,Mia Smucny,,,3,1,,1,BFG,Mixed,2018
,Kyle Terriere,,'"6''0"""',8,4,6,2,BFG,Mixed,2018
0,Andrea Coleman,,,3,2,2,5,BFG,Mixed,2018
0,Lili Gu,,,,1,,3,BFG,Mixed,2018
0,Jimmy Hooper,,'"1''0"""',1,6,2,6,BFG,Mixed,2018
0,Alexa Kirkland,,,12,4,1,9,BFG,Mixed,2018
0,Tommy Li,,,6,17,7,13,BFG,Mixed,2018
0,Aaron Richards,,,1,1,6,5,BFG,Mixed,2018
4,Andrew Hagen,,,5,5,5,5,BFG,Mixed,2018
5,Kate Kingery,,,7,3,,1,BFG,Mixed,2018
10,Adam Simon,,,3,37,2,18,BFG,Mixed,2018
11,Austin Barden,,'"6''1"""',7,7,1,2,BFG,Mixed,2018
23,Linnea Soo,Defense (Cutter),'"5''4"""',7,1,2,3,BFG,Mixed,2018
27,Jeffrey Pape,,'"1''6"""',8,16,3,14,BFG,Mixed,2018
32,Alissa Soo,,,12,1,11,6,BFG,Mixed,2018
33,Anna Maria Pape,,,3,,,1,BFG,Mixed,2018
44,Stephen Gussin,,,6,4,5,3,BFG,Mixed,2018
66,Crystal Koo,,,3,5,,4,BFG,Mixed,2018
98,Aldous Root,Dump,'"5''3"""',7,6,1,2,BFG,Mixed,2018
11,Anna Beddor,Defense (Cutter/Handler),'"5''5"""',1,,1,,Snake Country,Mixed,2018
11,Anna Chute,Handler/Cutter,,,,,,Snake Country,Mixed,2018
11,Kimberly Culpan,Handler/Cutter,'"5''9"""',7,2,1,1,Snake Country,Mixed,2018
11,David Ferraro,Defense (Cutter/Handler),'"5''11"""',4,2,3,2,Snake Country,Mixed,2018
11,Annie Fisher,Defense (Cutter/Handler),,4,,2,,Snake Country,Mixed,2018
11,Kendra Frederick,Handler/Cutter,,,,,,Snake Country,Mixed,2018
11,Brian Garcia,Handler/Cutter,,1,12,1,9,Snake Country,Mixed,2018
11,Daniel Glatt,Defense (Cutter/Handler),,2,4,1,3,Snake Country,Mixed,2018
11,Connor Hanify,Defense (Cutter/Handler),,,,,,Snake Country,Mixed,2018
11,Karoline Hart,Defense (Cutter/Handler),,3,,,1,Snake Country,Mixed,2018
11,Sarah Hemphill,Defense (Cutter/Handler),,,,,,Snake Country,Mixed,2018
11,Jake Herman,Defense (Cutter/Handler),,1,1,,1,Snake Country,Mixed,2018
11,Misha Herscu,Defense (Cutter/Handler),,,1,,3,Snake Country,Mixed,2018
11,Jonathan Hirschberger,Defense (Cutter/Handler),,2,1,,4,Snake Country,Mixed,2018
11,Isabel Jamerson,Defense (Cutter/Handler),,,,,,Snake Country,Mixed,2018
11,Nina Job,Handler/Cutter,,,,,,Snake Country,Mixed,2018
11,Sam Kittross-Schnell,Defense (Cutter/Handler),,,,,,Snake Country,Mixed,2018
11,Chelsea Leeder,Handler/Cutter,'"5''8"""',4,,,2,Snake Country,Mixed,2018
11,Ryan Levins,Handler/Cutter,'"6''3"""',,,,,Snake Country,Mixed,2018
11,Kirsten Lundquist,Defense (Cutter/Handler),,2,1,3,2,Snake Country,Mixed,2018
11,Auralyn Mackenzie,Handler/Cutter,,,,1,5,Snake Country,Mixed,2018
11,Kaelin Mackey,Defense (Cutter/Handler),,,,,,Snake Country,Mixed,2018
11,Piers MacNaughton,Handler/Cutter,,8,4,2,1,Snake Country,Mixed,2018
11,Peter Prial,Handler/Cutter,'"6''3"""',10,12,4,3,Snake Country,Mixed,2018
11,Jamie Quella,Defense (Cutter/Handler),'"6''0"""',1,8,5,4,Snake Country,Mixed,2018
11,Erin Rea,Defense (Cutter/Handler),,,1,1,,Snake Country,Mixed,2018
11,Laura Rea,Defense (Cutter/Handler),,,,,,Snake Country,Mixed,2018
11,David Reshef,Handler/Cutter,'"5''10"""',,,,,Snake Country,Mixed,2018
11,Charlie Roberts,Handler/Cutter,,,,1,,Snake Country,Mixed,2018
11,Jon Stone,Defense (Cutter/Handler),'"6''0"""',,,,,Snake Country,Mixed,2018
11,Jacob Taylor,Handler/Cutter,,3,8,1,5,Snake Country,Mixed,2018
11,Sophia Vargas,Handler/Cutter,'"5''6"""',,,,,Snake Country,Mixed,2018
11,Christopher Waite,Defense (Cutter/Handler),'"1''0"""',,5,1,7,Snake Country,Mixed,2018
11,Davis Whitehead,Defense (Cutter/Handler),,8,2,1,1,Snake Country,Mixed,2018
11,Jesse Wolf,Defense (Cutter/Handler),'"5''9"""',,,,1,Snake Country,Mixed,2018
11,Nellie Wood,Defense (Cutter/Handler),,,,,,Snake Country,Mixed,2018
11,Alexi Zalk,Handler/Cutter,,7,3,4,2,Snake Country,Mixed,2018
,Donnya Ajdari,,'"5''5"""',3,1,,,Blackbird,Mixed,2018
,Vivian Chu,,'"5''4"""',1,2,,2,Blackbird,Mixed,2018
,Molly Hallweaver,,,,,3,5,Blackbird,Mixed,2018
,Trevor Harper,,'"5''11"""',1,1,1,1,Blackbird,Mixed,2018
,Rachel Holz,,,1,2,,,Blackbird,Mixed,2018
,David Libo-on,,'"5''8"""',,,,,Blackbird,Mixed,2018
,Jacob Lohman,,,1,,1,2,Blackbird,Mixed,2018
,Raj Maitra,,,1,,,,Blackbird,Mixed,2018
,Danny Miesen,,'"5''11"""',6,9,4,3,Blackbird,Mixed,2018
,Alexandra Stambaugh,,,1,1,1,1,Blackbird,Mixed,2018
,Steve Sullivan,,,5,3,1,1,Blackbird,Mixed,2018
,Julia Ting,,,,1,,2,Blackbird,Mixed,2018
,Max Udsen,,,2,1,1,,Blackbird,Mixed,2018
0,Kara Hammer,,,4,1,1,6,Blackbird,Mixed,2018
0,Laura Moore,,,1,1,1,1,Blackbird,Mixed,2018
2,Corey Lee,,,,2,,3,Blackbird,Mixed,2018
7,Malina Wiebe,,,13,1,2,6,Blackbird,Mixed,2018
9,Adam Farren,,'"6''0"""',2,2,1,3,Blackbird,Mixed,2018
11,Barrs Lang,,,6,5,5,6,Blackbird,Mixed,2018
13,Sally Mimms,,,2,5,1,1,Blackbird,Mixed,2018
16,Vincenzo Vitiello,,'"5''10"""',13,8,6,6,Blackbird,Mixed,2018
17,John Kolb,,,5,10,,2,Blackbird,Mixed,2018
19,Ryo Kawaoka,,,7,13,1,6,Blackbird,Mixed,2018
20,Briana Cahn,,,8,6,2,1,Blackbird,Mixed,2018
30,Megan Schoellhamer,,'"5''6"""',11,2,,2,Blackbird,Mixed,2018
40,Mac Taylor,,,14,38,4,22,Blackbird,Mixed,2018
0,Hallie Dunham,,'"5''5"""',,2,,6,Love Tractor,Mixed,2018
0,Hilary Egan,,'"5''2"""',3,11,1,11,Love Tractor,Mixed,2018
0,Robin Fassett-Carman,,,2,4,2,2,Love Tractor,Mixed,2018
0,Dorothe Franklin,,'"1''0"""',2,7,3,7,Love Tractor,Mixed,2018
0,Geoa Geer,,,,,,,Love Tractor,Mixed,2018
0,Frances Gellert,,'"5''8"""',8,7,2,7,Love Tractor,Mixed,2018
0,Peter Gleason,,'"1''0"""',12,12,,6,Love Tractor,Mixed,2018
0,Matt Gleason,,,,,,,Love Tractor,Mixed,2018
0,Eric Hubbard,,'"5''11"""',,,,,Love Tractor,Mixed,2018
0,Dominic Lopez,,,6,1,,4,Love Tractor,Mixed,2018
0,Michael Lun,,,,,1,,Love Tractor,Mixed,2018
0,Christina Mickle,,'"5''8"""',,,,,Love Tractor,Mixed,2018
0,Maria Miller,,,3,,3,5,Love Tractor,Mixed,2018
0,Zachary Nager,,'"6''0"""',15,4,4,4,Love Tractor,Mixed,2018
0,Jesse Roehm,,,8,7,6,7,Love Tractor,Mixed,2018
0,Steve Schwab,,'"6''0"""',2,1,1,1,Love Tractor,Mixed,2018
0,Hilary Walker,,,16,6,2,2,Love Tractor,Mixed,2018
4,David Protter,,'"5''9"""',6,2,3,5,Love Tractor,Mixed,2018
5,Jack (John) McShane,,,13,29,3,19,Love Tractor,Mixed,2018
9,James Cantwell,,'"1''0"""',4,8,1,5,Love Tractor,Mixed,2018
11,Megan Henderson,,,11,6,,4,Love Tractor,Mixed,2018
13,Christine Kamin,,'"1''0"""',1,,,1,Love Tractor,Mixed,2018
19,Garrett Moulder,,,5,13,6,6,Love Tractor,Mixed,2018
23,Camden Kittredge,,,3,1,1,1,Love Tractor,Mixed,2018
33,David Kamin,,,4,3,,,Love Tractor,Mixed,2018
35,Kate Pearson,,,10,2,,1,Love Tractor,Mixed,2018
88,Kirsten Fahlbusch,,'"5''6"""',,2,1,6,Love Tractor,Mixed,2018
91,Matthew Zemel,,,5,3,1,6,Love Tractor,Mixed,2018
,Kara Hammer,,,,,,,Wild Card,Mixed,2018
,Albert Lee,,,,,,,Wild Card,Mixed,2018
,ALINA LI,,,,,,,Wild Card,Mixed,2018
,Robin Meyers,,,,,,,Wild Card,Mixed,2018
,Lillian Steponaitis,,,,,,,Wild Card,Mixed,2018
,Casey Terp,,,,,,,Wild Card,Mixed,2018
0,Tamar Austin,,,3,,,1,Wild Card,Mixed,2018
0,Nikhil Bhatia-Lin,,'"6''0"""',1,1,,,Wild Card,Mixed,2018
0,Joseph Carreiro,,,1,,,4,Wild Card,Mixed,2018
0,Sarah Hansen,,'"5''7"""',1,,1,,Wild Card,Mixed,2018
0,Reba Havis,,,2,8,2,6,Wild Card,Mixed,2018
0,Sarah Judd,,'"5''6"""',,,,,Wild Card,Mixed,2018
0,Luke Lanoue,Cutter,,,1,,,Wild Card,Mixed,2018
0,Evan Swiatek,,,6,5,1,5,Wild Card,Mixed,2018
0,Margo Urheim,,,,,,,Wild Card,Mixed,2018
0,Luke Webb,,,10,4,4,2,Wild Card,Mixed,2018
1,Lauren Nelson,Cutter,,2,1,,,Wild Card,Mixed,2018
2,Jodi Robert,Cutter,'"5''6"""',3,2,5,2,Wild Card,Mixed,2018
3,Ian Engler,Handler,,5,13,1,9,Wild Card,Mixed,2018
3,Cody McInnis,,,4,2,,,Wild Card,Mixed,2018
5,Andrew Pillsbury,Cutter,'"6''3"""',4,6,,3,Wild Card,Mixed,2018
7,Maxwell Rick,Handler,,5,7,6,13,Wild Card,Mixed,2018
8,Connor Fortin,Cutter,'"5''6"""',6,4,,1,Wild Card,Mixed,2018
9,John Rahill,Cutter,'"5''10"""',5,2,1,1,Wild Card,Mixed,2018
10,Annika Chan,Handler,'"5''7"""',,,2,5,Wild Card,Mixed,2018
11,Lloyd Olson,Cutter,'"6''0"""',,2,,,Wild Card,Mixed,2018
14,Hannah Crowley,Cutter,'"5''4"""',,,1,,Wild Card,Mixed,2018
15,Claire Dunn,Deep,,,6,1,3,Wild Card,Mixed,2018
21,Eva Petzinger,Handler/Cutter,,9,3,4,6,Wild Card,Mixed,2018
25,Judy Ledlee,Cutter,,3,2,1,5,Wild Card,Mixed,2018
30,Kyle Johnson,Handler,,10,9,2,3,Wild Card,Mixed,2018
34,Gustav Haflin,Cutter,'"6''3"""',7,3,4,1,Wild Card,Mixed,2018
37,Matthew Heath,Handler,'"6''2"""',10,9,2,3,Wild Card,Mixed,2018
42,Anthony Lamanna,Deep,'"6''5"""',,,,,Wild Card,Mixed,2018
73,Katharine Sullivan,Cutter,'"1''1"""',2,1,,,Wild Card,Mixed,2018
84,Alex Kapinos,Cutter,,8,4,1,4,Wild Card,Mixed,2018
88,Hailey Alm,Cutter,,1,3,,,Wild Card,Mixed,2018
0,Kasey Anderson,,'"6''3"""',,,,,shame.,Mixed,2018
0,Dan Bush,,,,,,,shame.,Mixed,2018
0,Emlia Garcia,,'"6''0"""',1,1,2,5,shame.,Mixed,2018
0,Kevin Herrera,,'"6''0"""',1,11,1,9,shame.,Mixed,2018
0,Christina McDowell,,,2,,,1,shame.,Mixed,2018
2,Hugh Carey,,,,,,,shame.,Mixed,2018
3,Kelcie Glick,,,1,,,1,shame.,Mixed,2018
7,Emily Hanson,,,,,,3,shame.,Mixed,2018
8,Bailey Russel,,,,1,,5,shame.,Mixed,2018
9,Nate Roth,,,2,2,1,4,shame.,Mixed,2018
10,Doug Stenclik,,,12,21,6,19,shame.,Mixed,2018
11,Danielle Love,,,2,,1,,shame.,Mixed,2018
13,Kyle Enns,,,,1,,3,shame.,Mixed,2018
14,Jade McLaughlin,,'"5''6"""',1,,,,shame.,Mixed,2018
16,Nick Lance,,,1,20,4,14,shame.,Mixed,2018
20,Christopher Ryan Morgan,,,,4,1,3,shame.,Mixed,2018
21,"Joseph ""Smash"" Anderson",,,10,,,2,shame.,Mixed,2018
23,Peter Raines,,,1,5,4,3,shame.,Mixed,2018
24,Zackary Fleming,,'"6''0"""',28,10,2,6,shame.,Mixed,2018
25,Nicholas Snuszka,,'"6''1"""',10,2,5,1,shame.,Mixed,2018
27,Chris Gauen,,'"6''2"""',2,2,1,,shame.,Mixed,2018
31,Alexandra Daniels,,,4,1,,2,shame.,Mixed,2018
31,Jana Krutsinger,,,,3,1,3,shame.,Mixed,2018
46,Chelsea Cotton,,,,,,,shame.,Mixed,2018
48,Aubree Dietrich,,'"5''7"""',24,3,1,3,shame.,Mixed,2018
51,Spencer Tibbs,,,6,3,3,5,shame.,Mixed,2018
52,Marilyn Reich,,,6,14,2,9,shame.,Mixed,2018
56,Jacob Juszak,Dump,'"6''3"""',5,8,1,4,shame.,Mixed,2018
69,Adrienne Altobelli,,'"5''7"""',1,1,2,,shame.,Mixed,2018
85,Vinny Fiacco,,'"6''2"""',2,3,3,2,shame.,Mixed,2018
97,Andrea Uhl,,'"5''6"""',,,,,shame.,Mixed,2018
,Daniel Glatt,,,,,,,Slow White,Mixed,2018
,Mary Glickman,,,,,,,Slow White,Mixed,2018
,Kirsten Lundquist,,,,,,,Slow White,Mixed,2018
,Steve Sullivan,,,,,,,Slow White,Mixed,2018
,Alexi Zalk,,,,,,,Slow White,Mixed,2018
0,Rosalyn Ano,,,,1,1,3,Slow White,Mixed,2018
0,Hannah Baranes,,,3,7,,4,Slow White,Mixed,2018
0,Patrick Barron,,'"6''2"""',14,4,6,11,Slow White,Mixed,2018
0,Emilia (Mia) Bladin,,,,,,,Slow White,Mixed,2018
0,Ryan Cardinal,,'"5''9"""',1,9,,12,Slow White,Mixed,2018
0,Vicki Chang,,'"5''5"""',4,7,,15,Slow White,Mixed,2018
0,Shaun Doherty,,'"5''11"""',10,4,5,3,Slow White,Mixed,2018
0,Thomas Ferguson,,'"5''11"""',3,11,5,2,Slow White,Mixed,2018
0,Caitlin Fitzgerald,,'"5''5"""',4,2,6,9,Slow White,Mixed,2018
0,David Friedman,,,9,4,1,6,Slow White,Mixed,2018
0,Caitlin Go,,,12,4,2,4,Slow White,Mixed,2018
0,Leanne Go,,'"5''5"""',6,4,4,3,Slow White,Mixed,2018
0,Olivia Hampton,,,2,4,2,10,Slow White,Mixed,2018
0,Walker Hatchett,,,7,14,12,4,Slow White,Mixed,2018
0,Todd Herman,,,3,1,,1,Slow White,Mixed,2018
0,Tess Johnson,,,13,3,3,7,Slow White,Mixed,2018
0,Shaun Krieger,,,4,4,1,5,Slow White,Mixed,2018
0,Eli Motycka,,'"3''0"""',10,7,,6,Slow White,Mixed,2018
0,Arielle Nelson,,'"5''8"""',2,6,1,11,Slow White,Mixed,2018
0,Marcel Oliart,,'"6''2"""',8,6,2,5,Slow White,Mixed,2018
0,Emilia Scheemaker,,'"5''9"""',3,,,3,Slow White,Mixed,2018
0,Eric Shaw,,,3,4,3,7,Slow White,Mixed,2018
0,Jeff Smith,,,2,5,,8,Slow White,Mixed,2018
0,Amy Stoddard,,'"1''2"""',7,1,5,5,Slow White,Mixed,2018
0,Ivan Tran,,'"2''3"""',6,6,4,5,Slow White,Mixed,2018
0,Ryan Turner,,'"6''1"""',23,7,7,7,Slow White,Mixed,2018
0,Rachael Westgate,,,7,3,2,10,Slow White,Mixed,2018
0,Ryan Woodhouse,,'"5''11"""',1,,,2,Slow White,Mixed,2018
10,Michael Miller,,,,,,,Slow White,Mixed,2018
12,Christopher Waite,Dump,'"1''0"""',,,,,Slow White,Mixed,2018
21,Tannor Johnson,,'"6''3"""',,,,,Slow White,Mixed,2018
24,Andy Schachter,,'"5''10"""',2,3,2,13,Slow White,Mixed,2018
25,Alexander Trahey,,,9,45,4,29,Slow White,Mixed,2018
89,Annie Fisher,,,,,,,Slow White,Mixed,2018
0,Veronica Cruz,,'"5''2"""',1,4,,,Mischief,Mixed,2018
2,Corinne Hanson,,,,1,,1,Mischief,Mixed,2018
3,Preeti Nalavade,,,,4,4,3,Mischief,Mixed,2018
4,Michael Dirda,,,2,1,,2,Mischief,Mixed,2018
6,James Hansell,,,4,,,1,Mischief,Mixed,2018
7,Devon Williams,,'"5''10"""',13,2,1,2,Mischief,Mixed,2018
8,Julia Butterfield,,'"5''10"""',5,3,4,2,Mischief,Mixed,2018
10,Elliott Chartock,,,5,16,5,6,Mischief,Mixed,2018
10,Brett Petersen,,,,,,,Mischief,Mixed,2018
11,Cody Kirkland,,'"1''0"""',10,11,3,7,Mischief,Mixed,2018
12,Candice Tse,,'"5''1"""',1,1,,4,Mischief,Mixed,2018
13,Robin Meyers,,,1,12,4,15,Mischief,Mixed,2018
14,Young Soo (Ellen) Rim,,'"5''3"""',3,1,2,3,Mischief,Mixed,2018
15,Nathan Young,,'"5''9"""',6,3,3,3,Mischief,Mixed,2018
17,Julia Kwasnick,,'"5''10"""',7,2,1,1,Mischief,Mixed,2018
18,Caitlin Rugg,,,,1,1,3,Mischief,Mixed,2018
19,Sean Childers,,'"1''0"""',4,4,4,1,Mischief,Mixed,2018
20,Jenny Wang,,,2,1,1,3,Mischief,Mixed,2018
22,Eric Rivera,,'"6''3"""',3,1,3,1,Mischief,Mixed,2018
23,Jordan Jeffery,,,5,2,3,11,Mischief,Mixed,2018
25,Audrey Wei,,,10,5,2,5,Mischief,Mixed,2018
29,V.Y. Chow,,'"5''6"""',8,2,2,3,Mischief,Mixed,2018
30,Han Chen,,'"10''11"""',5,13,2,10,Mischief,Mixed,2018
33,Scott Gatto,,,4,2,3,2,Mischief,Mixed,2018
47,Gina Schumacher,,,14,3,2,5,Mischief,Mixed,2018
72,Devin Drewry,,,2,3,,1,Mischief,Mixed,2018
77,Emily Prader,,'"5''5"""',5,3,2,3,Mischief,Mixed,2018
80,Kevin Smith,,'"6''0"""',3,22,4,11,Mischief,Mixed,2018
99,Max de Visser,,'"6''1"""',8,5,1,3,Mischief,Mixed,2018
1,Sam Landesberg,,'"6''2"""',8,1,,,Birdfruit,Mixed,2018
2,Luke Jesperson,,,2,1,,,Birdfruit,Mixed,2018
3,Martha Russell,,,2,,,,Birdfruit,Mixed,2018
4,Corinne Pingul,,,4,4,,,Birdfruit,Mixed,2018
5,Christian Brink,,,2,1,,,Birdfruit,Mixed,2018
6,Laura Noges,,'"5''9"""',1,2,,,Birdfruit,Mixed,2018
7,Nicole Bayard,,,4,,,,Birdfruit,Mixed,2018
8,Natalie Powell,,,,,,,Birdfruit,Mixed,2018
10,Jeff Gayle,,'"5''10"""',4,3,,,Birdfruit,Mixed,2018
11,Laura Manson,,,3,6,,,Birdfruit,Mixed,2018
13,Gabe Ryan,,'"5''11"""',1,1,,,Birdfruit,Mixed,2018
14,Peter Geertz-Larson,,,4,6,,,Birdfruit,Mixed,2018
15,Samuel Dinning,,,1,2,,,Birdfruit,Mixed,2018
18,Ellen Kalenscher,,,,1,,,Birdfruit,Mixed,2018
21,Dylan Harrington,,,6,2,,,Birdfruit,Mixed,2018
22,Lacy Clark,,,1,1,,,Birdfruit,Mixed,2018
23,Kyle Ord,,'"5''9"""',,1,,,Birdfruit,Mixed,2018
24,Andrew Lynch,,'"5''10"""',6,9,,,Birdfruit,Mixed,2018
31,Natalie Jamerson,,,2,,,,Birdfruit,Mixed,2018
33,Spencer Sheridan,,'"5''10"""',,,,,Birdfruit,Mixed,2018
40,Ky Lewis IV,,'"1''0"""',2,12,,,Birdfruit,Mixed,2018
41,Clay Dewey-Valentine,,'"5''7"""',4,5,,,Birdfruit,Mixed,2018
42,Laura Pape,,,1,,,,Birdfruit,Mixed,2018
44,Margo Heffron,,'"5''11"""',2,6,,,Birdfruit,Mixed,2018
