Team,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers,Division
SoCal Condors,0,Sean Ham,,,9,,,,Open
SoCal Condors,0,Tim Okita,,"5'8""",2,5,,,Open
SoCal Condors,0,Marcel Osborne,,"1'0""",,,,,Open
SoCal Condors,0,Scott Radlauer,,"6'1""",1,,,,Open
SoCal Condors,0,Kyle Rubin,,"5'10""",,,,,Open
SoCal Condors,0,Brandon Severson,,"6'1""",,,,,Open
SoCal Condors,0,Matt Theologidy,,"6'1""",,1,,,Open
SoCal Condors,0,Michael Tran,,"5'10""",,,,,Open
SoCal Condors,0,Bailey Wu,,,,,,,Open
SoCal Condors,3,Conor Schofield,,"5'8""",1,,,,Open
SoCal Condors,4,Will Griffin,,"5'10""",,,,,Open
SoCal Condors,9,Maxwell Hume,,,1,2,,,Open
SoCal Condors,10,Sean McDougall,,"6'0""",6,5,,,Open
SoCal Condors,13,Mark Leggio,,"1'4""",2,1,,,Open
SoCal Condors,14,William Turner,,"5'11""",3,1,,,Open
SoCal Condors,17,Hunter Corbett,,,,,,,Open
SoCal Condors,19,Jeff Silverman,,,1,,,,Open
SoCal Condors,24,David Ritchie,,,,,,,Open
SoCal Condors,27,Collin Gall,,"5'11""",1,,,,Open
SoCal Condors,55,Tyler Bacon,,"5'8""",2,12,,,Open
SoCal Condors,88,Samuel Fontaine,,"5'11""",,3,,,Open
SoCal Condors,91,Grant Boyd,,"5'10""",,,,,Open
Madison Club,1,David Wiseman,Cutter,"6'5""",4,5,2,10,Open
Madison Club,2,Logan Pruess,Handler,,7,5,1,3,Open
Madison Club,4,Sam Hebert,Handler,"5'9""",1,1,,4,Open
Madison Club,6,Bill Everhart,Handler,"6'1""",,2,,1,Open
Madison Club,7,Avery Johnson,Cutter,"5'11""",11,5,,8,Open
Madison Club,9,Andrew Meshnick,Cutter,,10,5,1,,Open
Madison Club,10,Victor Luo,Handler,"5'10""",8,6,2,5,Open
Madison Club,14,Sef Van Kan,Cutter,,1,2,,,Open
Madison Club,18,Mike Kobyra,Cutter,"5'11""",2,1,2,2,Open
Madison Club,20,Glenn Poole,Handler,"5'9""",3,4,,7,Open
Madison Club,22,Rami Paust,Handler,,2,3,,,Open
Madison Club,23,Tarik Akyuz,Cutter,,3,1,,1,Open
Madison Club,24,Logan Grothus,Cutter,"5'10""",2,3,2,,Open
Madison Club,25,Ryan Tucker,Cutter,,16,,,1,Open
Madison Club,26,Peter Graffy,Cutter,,11,19,,6,Open
Madison Club,27,Elliot Mawby,Cutter,"6'4""",,,,2,Open
Madison Club,28,Noah Nicol,Cutter,,1,,,,Open
